Size,Density,DenseMult(ms),SparseMult(ms)
100,0.01,734,160
100,0.02,122,456
100,0.03,203,614
100,0.04,124,939
100,0.05,215,1250
100,0.1,285,2332
100,0.2,135,3915
100,0.5,138,8787
100,1,238,14179
200,0.01,750,931
200,0.02,703,1293
200,0.03,814,2523
200,0.04,852,2437
200,0.05,808,3419
200,0.1,954,8356
200,0.2,861,14991
200,0.5,830,32615
200,1,734,63547
300,0.01,3101,1171
300,0.02,2680,3904
300,0.03,3755,5471
300,0.04,2726,8020
300,0.05,2714,10395
300,0.1,2674,24567
300,0.2,3008,44219
300,0.5,3017,127831
300,1,3330,242503
400,0.01,8101,2504
400,0.02,6396,6945
400,0.03,7026,11891
400,0.04,6220,18218
400,0.05,7129,26176
400,0.1,6809,69144
400,0.2,7105,122767
400,0.5,6733,347642
400,1,8085,775727
500,0.01,14352,4975
500,0.02,14232,13513
500,0.03,14159,30058
500,0.04,13954,42006
500,0.05,13873,66735
500,0.1,13881,136934
500,0.2,14035,313269
500,0.5,14933,975065
500,1,14434,2.51186e+06
600,0.01,27505,8947
600,0.02,24769,24629
600,0.03,25050,52764
600,0.04,24692,89969
600,0.05,25063,121686
600,0.1,24593,239778
600,0.2,24639,578878
600,0.5,24752,2.7146e+06
600,1,25840,5.12389e+06
700,0.01,42044,13408
700,0.02,40007,41876
700,0.03,39301,103250
700,0.04,39908,158136
700,0.05,38797,211608
700,0.1,38992,423564
700,0.2,38820,1.026e+06
700,0.5,38976,5.22255e+06
700,1,40613,1.01291e+07
800,0.01,57975,23783
800,0.02,61096,89177
800,0.03,57759,157195
800,0.04,57132,243060
800,0.05,57854,343904
800,0.1,57231,735921
800,0.2,61845,1.83932e+06
800,0.5,57612,8.74435e+06
800,1,58030,1.61109e+07
900,0.01,84245,33209
900,0.02,82412,119983
900,0.03,82369,236352
900,0.04,87427,371626
900,0.05,81877,450972
900,0.1,86179,1.00146e+06
900,0.2,82460,2.85976e+06
900,0.5,83871,1.32674e+07
900,1,81581,2.57732e+07
1000,0.01,115164,46198
1000,0.02,117346,176090
1000,0.03,115843,354979
1000,0.04,115248,485255
1000,0.05,116253,638022
1000,0.1,115772,1.42234e+06
1000,0.2,116531,4.40055e+06
1000,0.5,116318,1.97635e+07
1000,1,115193,3.90488e+07
