Size,Density,DenseMult(ms),SparseMult(ms)
100,0.01,0,0
100,0.02,0,0
100,0.03,0,6
100,0.4,0,10
100,0.05,0,1
100,0.1,0,3
100,0.2,0,5
100,0.5,0,30
100,1,0,24
200,0.01,1,1
200,0.02,0,1
200,0.03,0,3
200,0.4,1,34
200,0.05,1,3
200,0.1,0,9
200,0.2,0,15
200,0.5,0,40
200,1,0,78
300,0.01,3,1
300,0.02,2,3
300,0.03,3,6
300,0.4,3,126
300,0.05,3,22
300,0.1,3,40
300,0.2,3,51
300,0.5,3,133
300,1,3,309
400,0.01,7,2
400,0.02,7,7
400,0.03,7,13
400,0.4,7,292
400,0.05,7,30
400,0.1,7,72
400,0.2,7,134
400,0.5,6,360
400,1,8,854
500,0.01,15,5
500,0.02,14,13
500,0.03,14,28
500,0.4,14,728
500,0.05,15,65
500,0.1,13,127
500,0.2,13,244
500,0.5,13,920
500,1,13,2420
600,0.01,25,9
600,0.02,24,27
600,0.03,26,78
600,0.4,27,1746
600,0.05,24,116
600,0.1,24,224
600,0.2,24,532
600,0.5,25,2322
600,1,25,5305
700,0.01,43,13
700,0.02,39,42
700,0.03,40,103
700,0.4,40,3761
700,0.05,39,212
700,0.1,41,437
700,0.2,41,1224
700,0.5,42,6161
700,1,39,9557
800,0.01,56,20
800,0.02,57,68
800,0.03,56,140
800,0.4,57,5461
800,0.05,56,300
800,0.1,56,626
800,0.2,55,1676
800,0.5,56,7909
800,1,57,16563
900,0.01,84,31
900,0.02,82,110
900,0.03,81,215
900,0.4,81,8894
900,0.05,80,418
900,0.1,80,933
900,0.2,81,2840
900,0.5,83,13152
900,1,81,27486
1000,0.01,114,43
1000,0.02,115,156
1000,0.03,114,323
1000,0.4,114,13611
1000,0.05,114,612
1000,0.1,117,1426
1000,0.2,114,4648
1000,0.5,119,19166
1000,1,117,37517
